Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
Indonesia,2000,86.3,6.1,25.89,2320000.0,45.62,78.43,,19.6,19.99388,5435.4355,5.42,280650.0,3.7336404,4.920067747,780.1902047,151,1904569.0,-0.789275,113.921327
Indonesia,2001,86.26,6.9,21.71,5090000.0,44.33,83.96,,22.19,20.90438,5740.4346,5.34,302060.0,4.1123867,3.643466447,748.2576087,151,1904569.0,-0.789275,113.921327
Indonesia,2002,87.6,8.0,21.61,120000.0,44.66,92.03,,21.0,18.579138,5815.386,5.3,305640.0146,3.6838136,4.499475391,900.1775881,151,1904569.0,-0.789275,113.921327
Indonesia,2003,87.94,9.3,21.48,201310000.0,43.0,97.57,,19.82,16.883892,6224.9414,5.07,333890.0146,3.2210946,4.780369122,1065.64852,151,1904569.0,-0.789275,113.921327
Indonesia,2004,89.01,11.3,21.4,51670000.0,41.46,103.8,,20.97,16.806925,6087.6787,5.14,341239.9902,3.4259636,5.030873945,1150.261367,151,1904569.0,-0.789275,113.921327
Indonesia,2005,85.03832,14.1,23.61,188350000.0,41.57,110.22,,22.66,17.05298,6186.4365,4.94,342149.9939,3.5274262,5.692571304,1263.287332,151,1904569.0,-0.789275,113.921327
Indonesia,2006,90.62,17.9,24.78,255840000.0,40.07,116.8,,21.18,15.350051,6211.292,4.79,364470.0012,3.2203085,5.500951785,1589.801489,151,1904569.0,-0.789275,113.921327
Indonesia,2007,91.1,22.5,24.93,602100000.0,40.01,124.1,,24.29,16.369028,6579.23,4.48,379959.9915,3.370551,6.345022227,1860.002811,151,1904569.0,-0.789275,113.921327
Indonesia,2008,92.73,28.5,24.94,19440000.0,41.12,129.55,,26.34,16.89653,6569.101,4.3,376140.0146,3.586532,6.0137036,2166.854231,151,1904569.0,-0.789275,113.921327
Indonesia,2009,93.55,34.7,28.08,29220000.0,38.18,136.05,,26.79,16.451733,6662.824,4.34,391079.9866,3.655174,4.628871183,2261.247309,151,1904569.0,-0.789275,113.921327
Indonesia,2010,94.15,41.3,28.35,46300000.0,34.81,142.88,,34.63,19.50876,7121.819,4.21,415519.989,4.326221,6.223854181,3122.362673,151,1904569.0,-0.789275,113.921327
Indonesia,2011,94.83,47.3,29.16,947340000.0,30.92,161.41,,30.46,15.875333,7429.8623,4.04,475309.9976,3.3885977,6.169784208,3643.047176,151,1904569.0,-0.789275,113.921327
Indonesia,2012,96.0,52.9,30.14,16110000.0,28.78,177.83,,31.11,14.8894415,7574.457,3.79,481510.0098,3.4713633,6.030050653,3694.35934,151,1904569.0,-0.789275,113.921327
Indonesia,2013,96.46426,58.0,32.81,245060000.0,29.7,189.66,,35.5,15.766565,7225.1826,3.47,447940.0024,4.3306036,5.557263689,3623.927241,151,1904569.0,-0.789275,113.921327
Indonesia,2014,97.01,62.8,32.99,881330000.0,28.32,203.11,,34.41,14.487201,7235.558,3.44,483910.0037,4.4786325,5.006668426,3491.637491,151,1904569.0,-0.789275,113.921327
Indonesia,2015,97.53737,67.1,33.18,378150000.0,26.69,209.71,,33.56,13.795372,7266.8945,3.26,488549.9878,3.7929575,4.8763223,3331.695115,151,1904569.0,-0.789275,113.921327
Indonesia,2016,97.62,71.2,34.65,342330000.0,28.24,217.97,,39.58,15.367891,7212.07,3.19,482510.0098,5.47902,5.033069183,3562.816334,151,1904569.0,-0.789275,113.921327
Indonesia,2017,98.14,75.1,35.74,300880000.0,26.15,222.64,,43.17,16.240925,7388.523,3.2,517320.0073,5.283774,5.069785901,3837.578024,151,1904569.0,-0.789275,113.921327
Indonesia,2018,98.51,78.7,36.64,1056140000.0,21.05,235.41,,48.38,17.047817,8026.891,3.19,576989.9902,7.393458,5.17429154,3893.859578,151,1904569.0,-0.789275,113.921327
Indonesia,2019,98.85,81.85,38.06,215790000.0,19.09,247.39,,48.04,16.261044,8474.4795,3.16,619840.0269,7.870309,5.018159715,4135.201531,151,1904569.0,-0.789275,113.921327
Indonesia,2020,96.95,84.5,38.58,,,238.91,,52.91,18.131039,7771.042,,,9.8601465,-2.069543499,3869.588427,151,1904569.0,-0.789275,113.921327
